index,datetime,city,state,country,latitude,longitude ,mintemp,maxtemp,avgtemp,totalsnow,sunhour
0,1/1/2009 00:00,palmdale,ca,us,34.5794444,-118.1155556,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
1,1/1/2009 00:00,weeki wachee,fl,us,28.5152778,-82.5730556,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
2,1/1/2009 00:01,spring valley,ca,us,32.7447222,-116.9980556,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
3,1/1/2009 00:05,canoga park,ca,us,34.2011111,-118.5972222,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
4,1/1/2009 00:10,tyler,tx,us,32.3511111,-95.3008333,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
5,1/1/2009 00:12,orlando,fl,us,28.5380556,-81.3794444,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
6,1/1/2009 00:15,el cajon,ca,us,32.7947222,-116.9616667,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
7,1/1/2009 00:15,gonzales,la,us,30.2383333,-90.92,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
8,1/1/2009 00:15,san diego,ca,us,32.7152778,-117.1563889,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
9,1/1/2009 00:15,thunder bay (canada),on,ca,48.4,-89.233333,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
10,1/1/2009 00:20,san diego,ca,us,32.7152778,-117.1563889,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
11,1/1/2009 01:10,bradenton,fl,us,27.4986111,-82.575,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
12,1/1/2009 01:15,bethel,ak,us,60.7922222,-161.7558333,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
13,1/1/2009 02:00,cincinnati,oh,us,39.1619444,-84.4569444,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
14,1/1/2009 17:00,asheboro,nc,us,35.7077778,-79.8138889,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
15,1/1/2009 18:00,memphis,tn,us,35.1494444,-90.0488889,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
16,1/1/2009 19:00,berlin,ct,us,41.6213889,-72.7461111,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
17,1/1/2009 19:00,concord,ca,us,37.9780556,-122.03,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
18,1/1/2009 19:00,markle,in,us,40.8291667,-85.3355556,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
19,1/1/2009 19:00,olivehurst,ca,us,39.0955556,-121.5511111,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
20,1/1/2009 20:53,hartsville,sc,us,34.3738889,-80.0736111,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
21,1/1/2009 22:00,riverside,ca,us,33.9533333,-117.3952778,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
22,1/1/2009 23:00,campbellsville,ky,us,37.3433333,-85.3419444,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
23,1/1/2009 23:15,high point,nc,us,35.9555556,-80.0055556,1.2,9.057142857142857,4.857142857142857,0.011428571428571429,7.660000000000001
24,1/1/2010 00:00,benton,ar,us,34.5644444,-92.5866667,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
25,1/1/2010 00:00,bonita,ca,us,32.6577778,-117.0291667,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
26,1/1/2010 00:00,el cajon,ca,us,32.7947222,-116.9616667,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
27,1/1/2010 00:00,fresno,ca,us,36.7477778,-119.7713889,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
28,1/1/2010 00:00,grants pass,or,us,42.4391667,-123.3272222,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
29,1/1/2010 00:00,la mesa,ca,us,32.7677778,-117.0222222,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
30,1/1/2010 00:00,lemon grove,ca,us,32.7425,-117.0305556,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
31,1/1/2010 00:00,maricopa,az,us,33.0580556,-112.0469444,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
32,1/1/2010 00:00,park city,ky,us,37.0938889,-86.0463889,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
33,1/1/2010 00:00,st. louis,mo,us,38.6272222,-90.1977778,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
34,1/1/2010 00:01,el cajon,ca,us,32.7947222,-116.9616667,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
35,1/1/2010 00:01,spring valley,ca,us,32.7447222,-116.9980556,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
36,1/1/2010 00:01,willow,ak,us,61.7472222,-150.0375,-1.0909090909090908,7.151515151515151,2.5454545454545454,0.0,6.875757575757576
